emp_no,first_name,last_name,birth_date,from_date,to_date,title
10002,Bezalel,Simmel,6/2/1964,8/3/1996,1/1/9999,Staff
10010,Duangkaew,Piveteau,6/1/1963,6/26/2000,1/1/9999,Engineer
10013,Eberhardt,Terkki,6/7/1963,10/20/1985,1/1/9999,Senior Staff
10027,Divier,Reistad,7/10/1962,4/2/1995,1/1/9999,Senior Engineer
10037,Pradeep,Makrucki,7/22/1963,12/5/1990,1/1/9999,Senior Engineer
10061,Tse,Herber,10/19/1962,12/2/1989,1/1/9999,Senior Staff
10065,Satosi,Awdeh,4/14/1963,5/24/1998,1/1/9999,Engineer
10068,Charlene,Brattka,11/26/1962,8/7/1987,1/1/9999,Senior Staff
10077,Mona,Azuma,4/18/1964,12/23/1994,1/1/9999,Staff
10085,Kenroku,Malabarba,11/7/1962,4/9/1994,1/1/9999,Senior Engineer
10086,Somnath,Foote,11/19/1962,2/19/1992,1/1/9999,Staff
10089,Sudharsan,Flasterstein,3/21/1963,1/10/1989,1/1/9999,Staff
10092,Valdiodio,Niizuma,10/18/1964,4/22/1996,1/1/9999,Engineer
10093,Sailaja,Desikan,6/11/1964,6/8/1997,1/1/9999,Staff
10095,Hilari,Morton,1/3/1965,3/10/1994,1/1/9999,Senior Staff
10111,Hugo,Rosis,8/29/1963,12/19/1988,1/1/9999,Senior Engineer
10112,Yuichiro,Swick,8/13/1963,5/1/1998,1/1/9999,Staff
10113,Jaewon,Syrzycki,11/13/1963,9/14/1998,1/1/9999,Engineer
10121,Guoxiang,Ramsay,7/14/1962,5/3/1989,1/1/9999,Engineer
10122,Ohad,Esposito,1/19/1965,8/6/1998,1/1/9999,Technique Leader
10123,Hinrich,Randi,5/12/1962,1/15/1993,1/1/9999,Engineer
10124,Geraldo,Marwedel,5/23/1962,6/6/1999,1/1/9999,Senior Engineer
10133,Giri,Isaak,12/12/1963,12/15/1985,1/1/9999,Senior Engineer
10139,Ewing,Foong,3/3/1963,3/15/1998,1/1/9999,Engineer
10147,Kazuhito,Encarnacion,10/13/1964,12/18/1987,1/1/9999,Staff
10156,Sumali,Fargier,9/19/1964,5/14/1993,1/1/9999,Senior Engineer
10168,Dharmaraja,Stassinopoulos,9/11/1964,12/6/1986,1/1/9999,Staff
10173,Shrikanth,Mahmud,10/28/1962,3/21/1992,1/1/9999,Senior Staff
10178,Valery,Litvinov,3/13/1963,3/21/1994,1/1/9999,Staff
10181,Sibyl,Nooteboom,1/22/1963,6/22/1988,1/1/9999,Senior Engineer
10190,Arve,Fairtlough,12/11/1964,6/23/1986,1/1/9999,Engineer
10197,Kasidit,Krzyzanowski,8/6/1963,6/28/1994,1/1/9999,Senior Engineer
10211,Vishu,Strehl,8/5/1964,11/22/1991,1/1/9999,Engineer
10213,Jackson,Kakkad,5/24/1964,10/6/1994,1/1/9999,Staff
10214,Tadahiko,Ciolek,4/14/1962,2/29/1988,1/1/9999,Senior Staff
10222,Tze,Nourani,9/21/1962,6/8/1986,1/1/9999,Assistant Engineer
10223,Carrsten,Schmiedel,9/17/1963,4/1/1998,1/1/9999,Engineer
10226,Xinglin,Plessier,12/28/1964,1/29/1996,1/1/9999,Staff
10231,Shaowen,Desikan,7/21/1963,9/9/1998,1/1/9999,Staff
10238,Mototsugu,Gire,11/2/1964,5/25/1996,1/1/9999,Engineer
10242,Lunjin,Ozeri,2/22/1964,1/18/1988,1/1/9999,Senior Engineer
10246,Basem,Teitelbaum,6/23/1962,2/1/1991,1/1/9999,Senior Engineer
10247,Heon,Riefers,6/30/1964,8/14/1992,1/1/9999,Engineer
10270,Bedir,Hartvigsen,1/30/1963,9/26/1991,1/1/9999,Senior Staff
10271,Sham,Eastman,4/24/1962,5/23/1986,1/1/9999,Senior Engineer
10273,Baocai,Lieblein,8/29/1962,11/6/1985,1/1/9999,Staff
10277,Isaac,Schwartzbauer,8/15/1964,6/16/1985,1/1/9999,Senior Staff
10279,Barton,Jumpertz,8/20/1964,7/11/1999,1/1/9999,Engineer
10280,Stabislas,Delgrange,10/29/1964,1/27/1995,1/1/9999,Staff
10287,Marie,Pietracaprina,11/28/1963,9/5/1997,1/1/9999,Senior Staff
10291,Dipayan,Seghrouchni,1/23/1965,3/30/1987,1/1/9999,Senior Staff
10292,Yucel,Ghelli,1/27/1963,6/5/1989,1/1/9999,Staff
10296,Petter,Lorho,5/13/1964,9/16/1989,1/1/9999,Senior Staff
10301,Lucien,Staudhammer,8/26/1962,5/23/1988,1/1/9999,Senior Staff
10309,Prodip,Schusler,11/6/1964,5/2/1997,1/1/9999,Assistant Engineer
10313,Subbu,Riexinger,5/30/1962,10/10/1994,1/1/9999,Staff
10319,Mechthild,Miyakawa,3/9/1963,6/18/1994,1/1/9999,Senior Staff
10335,Toshimori,Bahi,3/13/1963,11/7/1999,1/1/9999,Senior Staff
10351,Tadahiko,Strehl,8/23/1963,5/1/1995,1/1/9999,Staff
10357,Hausi,Sidhu,1/10/1964,4/4/1994,1/1/9999,Senior Engineer
10378,Takahira,Lichtner,9/5/1964,8/31/1992,1/1/9999,Senior Staff
10381,Jiong,Parfitt,3/4/1963,12/4/1991,1/1/9999,Assistant Engineer
10383,Leucio,Aumann,11/13/1963,6/19/1991,1/1/9999,Senior Engineer
10392,Jiann,Hainaut,2/17/1962,8/9/1997,1/1/9999,Engineer
10408,Martijn,Kaiser,3/17/1964,10/7/1998,1/1/9999,Staff
10417,Bingning,Bakhtari,2/2/1964,6/27/1999,1/1/9999,Staff
10436,Yahiko,Lammel,6/17/1963,1/30/1988,1/1/9999,Senior Staff
10448,Phule,Oxenboll,12/10/1963,3/12/1992,1/1/9999,Senior Staff
10455,Sverrir,Streng,12/17/1963,2/19/1995,1/1/9999,Senior Staff
10456,Stepehn,Hardjono,1/24/1963,1/6/2000,1/1/9999,Staff
10457,Oddvar,Schlenzig,11/10/1963,10/23/1999,1/1/9999,Senior Engineer
10464,Mang,Maginnis,9/4/1962,5/21/1991,1/1/9999,Staff
10465,Claudi,Shackel,3/13/1963,12/11/1994,1/1/9999,Staff
10469,Munehiko,Ananiadou,12/22/1964,12/26/1992,1/1/9999,Senior Engineer
10471,Jouko,Yamaashi,11/30/1963,11/18/1990,1/1/9999,Senior Engineer
10473,Przemyslawa,Oskamp,10/13/1963,9/23/1997,1/1/9999,Engineer
10474,Kenton,Garnham,2/24/1962,2/21/1987,1/1/9999,Senior Engineer
10476,Kokou,Iisaka,1/1/1965,9/20/1987,1/1/9999,Senior Staff
10491,Garnik,Narahari,9/9/1964,1/17/1990,1/1/9999,Senior Staff
10493,Maris,Haraldson,1/12/1962,10/29/1998,1/1/9999,Senior Staff
10498,Valter,Cappelletti,9/15/1964,3/9/1994,1/1/9999,Engineer
10501,Susuma,Larfeldt,9/9/1962,9/8/1988,1/1/9999,Senior Engineer
10507,Kasidit,Belinskaya,2/18/1964,9/30/1990,1/1/9999,Senior Staff
10508,Kotesh,Liedekerke,6/2/1962,5/1/1991,1/1/9999,Engineer
10511,Khoa,Marrevee,6/18/1963,1/27/1992,1/1/9999,Assistant Engineer
10518,Marin,Lanphier,5/23/1963,9/3/1993,1/1/9999,Technique Leader
10520,Jenwei,Ecklund,3/6/1964,9/5/1996,1/1/9999,Senior Engineer
10526,Kwangho,Theuretzbacher,12/31/1963,2/27/1988,1/1/9999,Senior Engineer
10527,Tetsushi,Barvinok,9/15/1964,1/25/1996,1/1/9999,Technique Leader
10528,Koichi,Lakshmanan,5/16/1963,10/28/1993,1/1/9999,Senior Engineer
10533,Mohamadou,Smailagic,6/25/1963,8/17/1990,1/1/9999,Senior Staff
10536,Yechiam,Sambasivam,10/29/1964,10/7/1988,1/1/9999,Senior Staff
10537,Stella,Benzmuller,6/29/1962,9/25/1996,1/1/9999,Senior Staff
10543,Lein,Lichtman,10/6/1962,11/24/1998,1/1/9999,Staff
10544,Ishfaq,Krzyzanowski,2/1/1962,4/29/1995,1/1/9999,Senior Staff
10545,Hauke,dAstous,1/12/1963,6/30/1990,1/1/9999,Engineer
10551,Jeong,Rijsenbrij,10/7/1963,8/6/1988,1/1/9999,Engineer
10553,Rajmohan,Wallrath,2/8/1964,7/22/1990,1/1/9999,Engineer
10556,JoAnna,Taubman,12/31/1962,4/15/1992,1/1/9999,Senior Staff
10558,Hisao,Famili,10/8/1964,4/22/1992,1/1/9999,Senior Engineer
10562,Shuky,Pearson,4/17/1963,7/24/1997,1/1/9999,Engineer
10569,Sreenivas,Bashian,12/3/1962,3/13/1987,1/1/9999,Staff
10571,Fun,Varman,12/10/1963,2/24/1985,1/1/9999,Engineer
10573,Tetsushi,Speel,2/23/1964,8/20/1999,1/1/9999,Staff
10585,Sajjad,Willoner,11/10/1963,8/24/1994,1/1/9999,Senior Engineer
10587,Behnaam,Srimani,3/4/1962,11/20/1991,1/1/9999,Engineer
10590,Yongqiao,Kalloufi,10/1/1963,4/9/1986,1/1/9999,Staff
10592,Almudena,Alvarado,8/1/1964,9/27/1993,1/1/9999,Staff
10595,Giri,Undy,12/10/1964,11/24/1989,1/1/9999,Senior Engineer
10600,Emran,Rettelbach,8/17/1963,4/27/1992,1/1/9999,Senior Staff
10606,Toshiki,Marakhovsky,3/4/1964,5/2/1987,1/1/9999,Engineer
10607,Rosalyn,Hambrick,11/30/1964,1/13/1996,1/1/9999,Engineer
10611,Karsten,Blokdijk,5/11/1964,9/16/1989,1/1/9999,Senior Engineer
10618,Ranga,Yeung,8/3/1963,10/7/1994,1/1/9999,Engineer
10621,Hinrich,Siepmann,2/3/1962,2/10/1992,1/1/9999,Engineer
10627,Shigeu,Itzfeldt,10/6/1962,3/13/1995,1/1/9999,Staff
10648,Marlo,Ratnaker,1/19/1962,2/16/1988,1/1/9999,Senior Engineer
10656,Sanjay,Litzkow,6/18/1962,6/21/1988,1/1/9999,Senior Engineer
10663,Teunis,Noriega,1/9/1965,2/12/1999,1/1/9999,Technique Leader
10664,Xumin,Peck,6/2/1962,12/24/1989,1/1/9999,Engineer
10666,Zhonghua,Reeker,10/3/1964,5/20/1989,1/1/9999,Staff
10670,Shunichi,McAffer,4/23/1962,3/23/1988,1/1/9999,Staff
10677,Alejandra,Perng,2/20/1963,10/13/1999,1/1/9999,Engineer
10681,Florina,Garnier,12/25/1964,1/8/2002,1/1/9999,Staff
